"scientificName","redlistCategory","corallite","branching","integration","budding","family","threat"
"Acanthastrea echinata","Least Concern",25,"NB",3,"both","Lobophylliidae","Not Threatened"
"Acanthastrea minuta","Near Threatened",6.4,"NB",3,"both","Lobophylliidae","Threatened"
"Acanthastrea pachysepta","Near Threatened",32.6,"NB",3,"both","Lobophylliidae","Threatened"
"Acanthastrea subechinata","Near Threatened",12.8,"NB",3,"both","Lobophylliidae","Threatened"
"Acropora abrolhosensis","Vulnerable",1.5,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora abrotanoides","Least Concern",1.2,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora aculeus","Vulnerable",1,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora acuminata","Vulnerable",1.2,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora anthocercis","Vulnerable",1.3,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora arabensis","Near Threatened",2,"LB",3,"extra","Acroporidae","Threatened"
"Acropora aspera","Vulnerable",1.8,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora austera","Near Threatened",1.5,"HB",3,"extra","Acroporidae","Threatened"
"Acropora awi","Vulnerable",1,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora batunai","Vulnerable",0.5,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora bushyensis","Least Concern",1.5,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora carduus","Near Threatened",0.9,"HB",3,"extra","Acroporidae","Threatened"
"Acropora caroliniana","Vulnerable",1,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora cerealis","Least Concern",0.8,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora cervicornis","Critically Endangered",1.7,"HB",3,"extra","Acroporidae","Threatened"
"Acropora chesterfieldensis","Least Concern",1,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora clathrata","Least Concern",0.9,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora cytherea","Least Concern",1,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora dendrum","Vulnerable",1.2,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora derawanensis","Vulnerable",1,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora desalwii","Vulnerable",0.8,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora digitifera","Near Threatened",1.6,"LB",3,"extra","Acroporidae","Threatened"
"Acropora divaricata","Near Threatened",1.1,"LB",3,"extra","Acroporidae","Threatened"
"Acropora donei","Vulnerable",1.4,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora downingi","Least Concern",1,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora echinata","Vulnerable",1,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora elegans","Vulnerable",0.8,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora elseyi","Least Concern",0.9,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora florida","Near Threatened",1.4,"HB",3,"extra","Acroporidae","Threatened"
"Acropora gemmifera","Least Concern",1.6,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora glauca","Near Threatened",1.3,"LB",3,"extra","Acroporidae","Threatened"
"Acropora globiceps","Vulnerable",2.1,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora grandis","Least Concern",1.7,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora granulosa","Near Threatened",0.9,"LB",3,"extra","Acroporidae","Threatened"
"Acropora halmaherae","Data Deficient",0.9,"HB",3,"extra","Acroporidae","Data Deficient"
"Acropora hemprichii","Vulnerable",1.2,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora hoeksemai","Vulnerable",1.1,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora horrida","Vulnerable",1.5,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora humilis","Near Threatened",1.8,"LB",3,"extra","Acroporidae","Threatened"
"Acropora hyacinthus","Near Threatened",1.1,"LB",3,"extra","Acroporidae","Threatened"
"Acropora indonesia","Vulnerable",1,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora jacquelineae","Vulnerable",0.5,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora japonica","Data Deficient",0.9,"LB",3,"extra","Acroporidae","Data Deficient"
"Acropora kimbeensis","Vulnerable",0.6,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora kirstyae","Vulnerable",0.8,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora kosurini","Vulnerable",0.8,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora latistella","Least Concern",0.9,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora listeri","Vulnerable",1,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora loisetteae","Vulnerable",1.6,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora lokani","Vulnerable",0.9,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora longicyathus","Least Concern",1.3,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora loripes","Near Threatened",1.2,"MB",3,"extra","Acroporidae","Threatened"
"Acropora lutkeni","Near Threatened",1.2,"HB",3,"extra","Acroporidae","Threatened"
"Acropora microclados","Vulnerable",1.2,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora microphthalma","Least Concern",1,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora millepora","Near Threatened",1.6,"MB",3,"extra","Acroporidae","Threatened"
"Acropora monticulosa","Near Threatened",1.2,"LB",3,"extra","Acroporidae","Threatened"
"Acropora multiacuta","Vulnerable",2,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora muricata","Near Threatened",1.2,"HB",3,"extra","Acroporidae","Threatened"
"Acropora nana","Near Threatened",1,"MB",3,"extra","Acroporidae","Threatened"
"Acropora nasuta","Near Threatened",1.1,"MB",3,"extra","Acroporidae","Threatened"
"Acropora palmata","Critically Endangered",1.6,"HB",3,"extra","Acroporidae","Threatened"
"Acropora palmerae","Vulnerable",1.3,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora paniculata","Vulnerable",0.8,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora papillare","Vulnerable",1.6,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora pharaonis","Vulnerable",1.5,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora pichoni","Near Threatened",0.9,"LB",3,"extra","Acroporidae","Threatened"
"Acropora plumosa","Vulnerable",1.2,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora polystoma","Vulnerable",1.5,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora pruinosa","Data Deficient",1.6,"MB",3,"extra","Acroporidae","Data Deficient"
"Acropora pulchra","Least Concern",1.2,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora retusa","Vulnerable",0.9,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora robusta","Least Concern",1.5,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora roseni","Endangered",1.6,"HB",3,"extra","Acroporidae","Threatened"
"Acropora rudis","Endangered",1.2,"HB",3,"extra","Acroporidae","Threatened"
"Acropora russelli","Vulnerable",1,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora samoensis","Least Concern",1.8,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora sarmentosa","Least Concern",2,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora secale","Near Threatened",1.2,"MB",3,"extra","Acroporidae","Threatened"
"Acropora selago","Near Threatened",0.9,"MB",3,"extra","Acroporidae","Threatened"
"Acropora simplex","Vulnerable",0.8,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora solitaryensis","Vulnerable",1.1,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora speciosa","Vulnerable",0.8,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora spicifera","Vulnerable",1.1,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora squarrosa","Least Concern",0.8,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora stoddarti","Data Deficient",1.3,"LB",3,"extra","Acroporidae","Data Deficient"
"Acropora striata","Vulnerable",1.1,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora subglabra","Least Concern",0.8,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora subulata","Least Concern",1.2,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora suharsonoi","Endangered",0.8,"MB",3,"extra","Acroporidae","Threatened"
"Acropora tanegashimensis","Data Deficient",0.8,"LB",3,"extra","Acroporidae","Data Deficient"
"Acropora tenella","Vulnerable",0.8,"LB",3,"extra","Acroporidae","Not Threatened"
"Acropora tenuis","Near Threatened",1.2,"MB",3,"extra","Acroporidae","Threatened"
"Acropora torihalimeda","Data Deficient",0.8,"MB",3,"extra","Acroporidae","Data Deficient"
"Acropora tortuosa","Least Concern",1.3,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora tumida","Data Deficient",1.4,"MB",3,"extra","Acroporidae","Data Deficient"
"Acropora turaki","Vulnerable",0.8,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora valenciennesi","Least Concern",1.5,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora valida","Least Concern",0.9,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora variolosa","Least Concern",1.2,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora vaughani","Vulnerable",1.1,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora verweyi","Vulnerable",1.1,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora walindii","Vulnerable",0.5,"HB",3,"extra","Acroporidae","Not Threatened"
"Acropora willisae","Vulnerable",1,"MB",3,"extra","Acroporidae","Not Threatened"
"Acropora yongei","Least Concern",1.2,"MB",3,"extra","Acroporidae","Not Threatened"
"Agaricia agaricites","Least Concern",5.5,"MB",6,"intra","Agariciidae","Not Threatened"
"Agaricia fragilis","Data Deficient",5,"LB",6,"intra","Agariciidae","Data Deficient"
"Agaricia grahamae","Least Concern",6.5,"MB",6,"intra","Agariciidae","Not Threatened"
"Agaricia humilis","Least Concern",6,"LB",6,"intra","Agariciidae","Not Threatened"
"Agaricia lamarcki","Vulnerable",7.9,"MB",6,"intra","Agariciidae","Not Threatened"
"Agaricia tenuifolia","Near Threatened",5.1,"MB",6,"intra","Agariciidae","Threatened"
"Agaricia undata","Data Deficient",6,"MB",6,"intra","Agariciidae","Data Deficient"
"Alveopora allingi","Vulnerable",3.7,"MB",4,"extra","Acroporidae","Not Threatened"
"Alveopora catalai","Near Threatened",4.1,"MB",4,"extra","Acroporidae","Threatened"
"Alveopora daedalea","Vulnerable",2.2,"MB",4,"extra","Acroporidae","Not Threatened"
"Alveopora excelsa","Endangered",2,"NB",4,"extra","Acroporidae","Threatened"
"Alveopora fenestrata","Vulnerable",3.4,"NB",4,"extra","Acroporidae","Not Threatened"
"Alveopora gigas","Vulnerable",6.6,"MB",4,"extra","Acroporidae","Not Threatened"
"Alveopora japonica","Vulnerable",2.7,"NB",4,"extra","Acroporidae","Not Threatened"
"Alveopora marionensis","Vulnerable",3.4,"NB",4,"extra","Acroporidae","Not Threatened"
"Alveopora minuta","Endangered",1.3,"NB",4,"extra","Acroporidae","Threatened"
"Alveopora ocellata","Data Deficient",1.5,"LB",4,"extra","Acroporidae","Data Deficient"
"Alveopora spongiosa","Near Threatened",1.5,"MB",4,"extra","Acroporidae","Threatened"
"Alveopora tizardi","Least Concern",1.5,"LB",4,"extra","Acroporidae","Not Threatened"
"Alveopora verrilliana","Vulnerable",2.1,"NB",4,"extra","Acroporidae","Not Threatened"
"Alveopora viridis","Near Threatened",1.7,"MB",4,"extra","Acroporidae","Threatened"
"Anacropora forbesi","Least Concern",0.5,"MB",3,"extra","Acroporidae","Not Threatened"
"Anacropora matthai","Vulnerable",0.6,"MB",3,"extra","Acroporidae","Not Threatened"
"Anacropora pillai","Data Deficient",0.6,"MB",3,"extra","Acroporidae","Data Deficient"
"Anacropora puertogalerae","Vulnerable",0.8,"MB",3,"extra","Acroporidae","Not Threatened"
"Anacropora reticulata","Vulnerable",0.9,"MB",3,"extra","Acroporidae","Not Threatened"
"Anacropora spinosa","Endangered",0.9,"MB",3,"extra","Acroporidae","Threatened"
"Anacropora spumosa","Data Deficient",0.7,"MB",3,"extra","Acroporidae","Data Deficient"
"Anomastraea irregularis","Vulnerable",5.4,"NB",3,"both","Coscinaraeidae","Not Threatened"
"Astrea annuligera","Near Threatened",6.3,"LB",3,"extra","Merulinidae","Threatened"
"Astrea curta","Least Concern",9.3,"NB",3,"extra","Merulinidae","Not Threatened"
"Astrea devantieri","Near Threatened",4.5,"NB",3,"extra","Merulinidae","Threatened"
"Astreopora cucullata","Vulnerable",2.3,"NB",3,"extra","Acroporidae","Not Threatened"
"Astreopora expansa","Near Threatened",2.3,"MB",3,"extra","Acroporidae","Threatened"
"Astreopora gracilis","Least Concern",1.6,"NB",3,"extra","Acroporidae","Not Threatened"
"Astreopora incrustans","Vulnerable",0.9,"LB",3,"extra","Acroporidae","Not Threatened"
"Astreopora listeri","Least Concern",1.6,"NB",3,"extra","Acroporidae","Not Threatened"
"Astreopora macrostoma","Near Threatened",2.5,"LB",3,"extra","Acroporidae","Threatened"
"Astreopora moretonensis","Vulnerable",2.5,"MB",3,"extra","Acroporidae","Not Threatened"
"Astreopora myriophthalma","Least Concern",2.3,"NB",3,"extra","Acroporidae","Not Threatened"
"Astreopora ocellata","Least Concern",2.5,"NB",3,"extra","Acroporidae","Not Threatened"
"Astreopora randalli","Least Concern",1.5,"MB",3,"extra","Acroporidae","Not Threatened"
"Astreopora scabra","Least Concern",2.5,"NB",3,"extra","Acroporidae","Not Threatened"
"Astreopora suggesta","Least Concern",1.6,"NB",3,"extra","Acroporidae","Not Threatened"
"Australogyra zelli","Vulnerable",7.2,"MB",5,"intra","Merulinidae","Not Threatened"
"Blastomussa wellsi","Near Threatened",18.9,"NB",2,"extra","Plerogyridae","Threatened"
"Boninastrea boninensis","Data Deficient",6.5,"NB",4,"intra","Merulinidae","Data Deficient"
"Cantharellus doederleini","Least Concern",53.3,"NB",0,"","Fungiidae","Not Threatened"
"Cantharellus jebbi","Least Concern",20,"LB",0,"","Fungiidae","Not Threatened"
"Cantharellus noumeae","Endangered",200,"LB",0,"","Fungiidae","Threatened"
"Catalaphyllia jardinei","Vulnerable",21.3,"NB",7,"intra","Merulinidae","Not Threatened"
"Caulastraea connata","Vulnerable",27.5,"NB",2,"intra","Merulinidae","Not Threatened"
"Caulastraea curvata","Vulnerable",7.8,"MB",2,"intra","Merulinidae","Not Threatened"
"Caulastraea echinulata","Vulnerable",9.4,"NB",2,"intra","Merulinidae","Not Threatened"
"Caulastraea furcata","Least Concern",7.2,"NB",2,"intra","Merulinidae","Not Threatened"
"Caulastraea tumida","Near Threatened",25,"NB",2,"intra","Merulinidae","Threatened"
"Cladocora arbuscula","Least Concern",2.9,"MB",2,"extra","Scleractinia incertae sedis","Not Threatened"
"Cladocora caespitosa","Endangered",4.5,"NB",2,"extra","Scleractinia incertae sedis","Threatened"
"Coelastrea aspera","Least Concern",8.5,"NB",4,"intra","Merulinidae","Not Threatened"
"Coelastrea palauensis","Near Threatened",18.8,"NB",4,"intra","Merulinidae","Threatened"
"Coeloseris mayeri","Least Concern",8.1,"NB",4,"intra","Agariciidae","Not Threatened"
"Colpophyllia natans","Least Concern",8.7,"NB",6,"intra","Faviidae","Not Threatened"
"Coscinaraea crassa","Near Threatened",8.6,"LB",3,"both","Coscinaraeidae","Threatened"
"Coscinaraea hahazimaensis","Vulnerable",3,"NB",3,"both","Coscinaraeidae","Not Threatened"
"Coscinaraea marshae","Least Concern",5.3,"LB",3,"both","Coscinaraeidae","Not Threatened"
"Coscinaraea mcneilli","Least Concern",5.8,"LB",3,"both","Coscinaraeidae","Not Threatened"
"Coscinaraea monile","Least Concern",50,"NB",3,"both","Coscinaraeidae","Not Threatened"
"Ctenactis albitentaculata","Near Threatened",260,"NB",0,"intra","Fungiidae","Threatened"
"Ctenactis crassa","Least Concern",236,"NB",0,"intra","Fungiidae","Not Threatened"
"Ctenactis echinata","Least Concern",284,"NB",0,"intra","Fungiidae","Not Threatened"
"Cycloseris costulata","Least Concern",76,"NB",0,"intra","Fungiidae","Not Threatened"
"Cycloseris curvata","Vulnerable",81,"NB",0,"intra","Fungiidae","Not Threatened"
"Cycloseris cyclolites","Least Concern",35.7,"NB",0,"intra","Fungiidae","Not Threatened"
"Cycloseris distorta","Least Concern",40,"NB",0,"intra","Fungiidae","Not Threatened"
"Cycloseris explanulata","Least Concern",4.5,"MB",0,"intra","Fungiidae","Not Threatened"
"Cycloseris fragilis","Least Concern",48,"NB",0,"intra","Fungiidae","Not Threatened"
"Cycloseris mokai","Least Concern",7.5,"NB",0,"intra","Fungiidae","Not Threatened"
"Cycloseris sinensis","Least Concern",54.8,"NB",0,"intra","Fungiidae","Not Threatened"
"Cycloseris somervillei","Least Concern",135.2,"NB",0,"intra","Fungiidae","Not Threatened"
"Cycloseris tenuis","Least Concern",46.7,"NB",0,"intra","Fungiidae","Not Threatened"
"Cycloseris vaughani","Least Concern",58.5,"NB",0,"intra","Fungiidae","Not Threatened"
"Cycloseris wellsi","Least Concern",34,"MB",0,"intra","Fungiidae","Not Threatened"
"Cynarina lacrymalis","Near Threatened",85,"NB",0,"intra","Lobophylliidae","Threatened"
"Cyphastrea agassizi","Vulnerable",2.2,"NB",3,"extra","Merulinidae","Not Threatened"
"Cyphastrea chalcidicum","Least Concern",2.8,"NB",3,"extra","Merulinidae","Not Threatened"
"Cyphastrea decadia","Least Concern",2.8,"MB",3,"extra","Merulinidae","Not Threatened"
"Cyphastrea hexasepta","Vulnerable",1,"NB",3,"extra","Merulinidae","Not Threatened"
"Cyphastrea japonica","Least Concern",1.9,"NB",3,"extra","Merulinidae","Not Threatened"
"Cyphastrea microphthalma","Least Concern",2.7,"NB",3,"extra","Merulinidae","Not Threatened"
"Cyphastrea ocellina","Vulnerable",2.5,"NB",3,"extra","Merulinidae","Not Threatened"
"Cyphastrea serailia","Least Concern",2.4,"NB",3,"extra","Merulinidae","Not Threatened"
"Danafungia horrida","Least Concern",204,"NB",0,"","Fungiidae","Not Threatened"
"Danafungia scruposa","Least Concern",111,"NB",0,"","Fungiidae","Not Threatened"
"Dendrogyra cylindrus","Vulnerable",4.2,"MB",6,"intra","Meandrinidae","Not Threatened"
"Dichocoenia stokesii","Vulnerable",4.7,"NB",3,"intra","Meandrinidae","Not Threatened"
"Diploastrea heliopora","Near Threatened",9,"NB",4,"extra","Diploastraeidae","Threatened"
"Diploria labyrinthiformis","Least Concern",5.8,"NB",6,"intra","Faviidae","Not Threatened"
"Dipsastraea albida","Near Threatened",8.3,"NB",3,"intra","Merulinidae","Threatened"
"Dipsastraea amicorum","Least Concern",6,"NB",3,"intra","Merulinidae","Not Threatened"
"Dipsastraea danai","Least Concern",9.2,"NB",3,"intra","Merulinidae","Not Threatened"
"Dipsastraea favus","Least Concern",6.5,"NB",3,"intra","Merulinidae","Not Threatened"
"Dipsastraea helianthoides","Near Threatened",9,"NB",3,"intra","Merulinidae","Threatened"
"Dipsastraea lacuna","Near Threatened",9.8,"NB",3,"intra","Merulinidae","Threatened"
"Dipsastraea laddi","Vulnerable",6.8,"NB",3,"intra","Merulinidae","Not Threatened"
"Dipsastraea laxa","Near Threatened",5.8,"NB",3,"intra","Merulinidae","Threatened"
"Dipsastraea lizardensis","Near Threatened",16.7,"NB",3,"intra","Merulinidae","Threatened"
"Dipsastraea maritima","Near Threatened",18.8,"NB",3,"intra","Merulinidae","Threatened"
"Dipsastraea marshae","Near Threatened",19.3,"NB",3,"intra","Merulinidae","Threatened"
"Dipsastraea matthaii","Near Threatened",8.8,"NB",3,"intra","Merulinidae","Threatened"
"Dipsastraea maxima","Near Threatened",29,"NB",3,"intra","Merulinidae","Threatened"
"Dipsastraea pallida","Least Concern",6.8,"NB",3,"intra","Merulinidae","Not Threatened"
"Dipsastraea rosaria","Vulnerable",9.3,"LB",3,"intra","Merulinidae","Not Threatened"
"Dipsastraea rotumana","Least Concern",8.8,"NB",3,"intra","Merulinidae","Not Threatened"
"Dipsastraea speciosa","Least Concern",9.9,"NB",3,"intra","Merulinidae","Not Threatened"
"Dipsastraea truncata","Least Concern",9,"NB",3,"intra","Merulinidae","Not Threatened"
"Dipsastraea veroni","Near Threatened",17.5,"NB",3,"intra","Merulinidae","Threatened"
"Dipsastraea vietnamensis","Near Threatened",4.8,"NB",3,"intra","Merulinidae","Threatened"
